1611,40,32.917,-43.3741,2
1616,40,35.0384,-44.2705,2
1621,40,37.1127,-45.2321,2
1626,40,39.1193,-46.2689,2
1631,40,41.0563,-47.3978,2
1701,43,32.621,-43.6237,1
1706,43,34.2773,-44.3039,1
1711,43,35.9218,-45.039,1
1716,43,37.5416,-45.8187,1
1721,43,39.1221,-46.6717,1
1726,43,40.6668,-47.602,1
1769,45,32.1848,-39.155,1
1774,45,33.2352,-39.4683,1
1779,45,34.2704,-39.7799,1
1784,45,35.2964,-40.0917,1
1789,45,36.3126,-40.3995,1
1794,45,37.3128,-40.6986,1
1799,45,38.2889,-40.9948,1
1804,45,39.2392,-41.2798,1
1809,45,40.1681,-41.5595,1
1814,45,41.0771,-41.8332,1
1819,45,41.9618,-42.1038,1
1824,45,42.8311,-42.3692,1
1829,45,43.6835,-42.631,1
1834,45,44.5225,-42.8901,1
1839,45,45.3409,-43.1469,1
1844,45,46.1443,-43.4003,1
1849,45,46.936,-43.6551,1
1854,45,47.7091,-43.9182,1
2265,59,32.2864,-39.3305,1
2270,59,32.6049,-39.4262,1
2275,59,32.8465,-39.4998,1
2280,59,33.0213,-39.5515,1
2285,59,33.1582,-39.5946,1
2290,59,33.2773,-39.6304,1
2295,59,33.3835,-39.664,1
2300,59,33.4853,-39.6967,1
2305,59,33.5844,-39.73,1
2310,59,33.7046,-39.7666,1
2315,59,33.8588,-39.811,1
2320,59,34.0601,-39.8693,1
2325,59,34.3143,-39.9462,1
2330,59,34.6225,-40.0421,1
2335,59,34.9989,-40.1619,1
2340,59,35.4461,-40.2983,1
2345,59,35.9678,-40.455,1
2350,59,36.5664,-40.6374,1
2355,59,37.2392,-40.8458,1
2360,59,37.9771,-41.0748,1
2365,59,38.7821,-41.3236,1
2370,59,39.6515,-41.5923,1
2375,59,40.5943,-41.8855,1
2380,59,41.609,-42.2008,1
2385,59,42.6936,-42.534,1
2390,59,43.8449,-42.8933,1
2395,59,45.0622,-43.2814,1
2398,61,32.5511,-39.3528,1
2400,59,46.3234,-43.7006,1
2403,61,33.2295,-39.5618,1
2405,59,47.5859,-44.1465,1
2408,61,33.9664,-39.7941,1
2413,61,34.7775,-40.0477,1
2418,61,35.6487,-40.3233,1
2423,61,36.583,-40.6235,1
2428,61,37.5592,-40.9322,1
2433,61,38.5534,-41.2465,1
2438,61,39.544,-41.5668,1
2443,61,40.5312,-41.8853,1
2448,61,41.5054,-42.2036,1
2453,61,42.466,-42.5129,1
2458,61,43.4175,-42.8178,1
2463,61,44.3593,-43.119,1
2468,61,45.2924,-43.4246,1
2473,61,46.2161,-43.7293,1
2478,61,47.1248,-44.0304,1
4196,104,32.7138,-43.412,2
4201,104,34.889,-44.359,2
4206,104,36.9887,-45.3476,2
4211,104,39.0076,-46.3852,2
4216,104,40.953,-47.4927,2
4278,105,32.6854,-39.5939,0
4283,105,33.8494,-39.9483,0
4288,105,34.9689,-40.2944,0
4293,105,36.053,-40.6358,0
4298,105,37.0987,-40.9681,0
4303,105,38.1093,-41.2907,0
4308,105,39.0932,-41.6041,0
4313,105,40.0705,-41.9155,0
