recordingId,trackId,frame,trackLifetime,xCenter,yCenter,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration,FrontVehicleTrackId,cluster,class
4,0,23863,0,94.1562,-15.0543,244.4459,0.8085,2.2035,-1.9296,-4.1387,0.2613,0.8674,4.5662,-0.0444,-0.8952,0.1384,571.0,1,motorcycle
4,0,23868,5,93.7719,-15.8716,244.2172,0.8085,2.2035,-1.8811,-3.9748,0.3174,1.0312,4.3973,-0.0351,-1.0666,0.1628,571.0,1,motorcycle
4,0,23873,10,93.398,-16.6553,243.746,0.8085,2.2035,-1.811,-3.7556,0.3873,1.2483,4.1693,-0.0371,-1.2908,0.2048,571.0,1,motorcycle
4,0,23878,15,93.0416,-17.3877,243.0447,0.8085,2.2035,-1.7212,-3.4755,0.4388,1.4445,3.8781,-0.0412,-1.4865,0.2637,571.0,1,motorcycle
4,0,23883,20,92.706,-18.0565,242.1269,0.8085,2.2035,-1.6205,-3.1489,0.4515,1.5574,3.5412,-0.0397,-1.5878,0.329,571.0,1,motorcycle
4,0,23888,25,92.3914,-18.6539,241.0079,0.8085,2.2035,-1.5196,-2.8032,0.4161,1.5484,3.1885,-0.0295,-1.556,0.3866,558.0,1,motorcycle
4,0,23893,30,92.0973,-19.1808,239.7057,0.8085,2.2035,-1.4307,-2.4696,0.3311,1.4061,2.8541,-0.0105,-1.3811,0.4234,558.0,1,motorcycle
4,0,23898,35,91.8182,-19.6425,238.2406,0.8085,2.2035,-1.3635,-2.1788,0.2018,1.1373,2.5702,0.0125,-1.0733,0.4271,558.0,1,motorcycle
4,0,23903,40,91.5493,-20.0508,236.6344,0.8085,2.2035,-1.3251,-1.9581,0.0293,0.7662,2.3642,0.0298,-0.6561,0.3969,558.0,1,motorcycle
4,0,23908,45,91.2841,-20.422,234.9078,0.8085,2.2035,-1.3236,-1.8283,-0.1897,0.3293,2.2569,0.032,-0.1604,0.3445,558.0,1,motorcycle
4,0,23913,50,91.0153,-20.776,233.0777,0.8085,2.2035,-1.3689,-1.8021,-0.4609,-0.1233,2.2631,0.0118,0.3755,0.2944,558.0,1,motorcycle
4,0,23918,55,90.7338,-21.1355,231.1557,0.8085,2.2035,-1.4752,-1.8781,-0.7824,-0.5342,2.388,-0.029,0.9068,0.2743,558.0,1,motorcycle
4,0,23923,60,90.425,-21.5212,229.1499,0.8085,2.2035,-1.6543,-2.0403,-1.137,-0.8527,2.6254,-0.0832,1.3887,0.3023,558.0,1,motorcycle
4,0,23928,65,90.0727,-21.9477,227.0695,0.8085,2.2035,-1.9115,-2.2627,-1.501,-1.0454,2.9587,-0.1416,1.7878,0.387,558.0,1,motorcycle
4,0,23933,70,89.6609,-22.4254,224.9291,0.8085,2.2035,-2.2466,-2.5137,-1.8506,-1.0964,3.3658,-0.193,2.0845,0.5307,558.0,1,motorcycle
4,0,23938,75,89.1757,-22.9547,222.7524,0.8085,2.2035,-2.6546,-2.7591,-2.164,-1.0145,3.8223,-0.224,2.2777,0.7241,558.0,1,motorcycle
4,0,23943,80,88.6027,-23.532,220.5742,0.8085,2.2035,-3.129,-2.9732,-2.4122,-0.8191,4.3106,-0.2231,2.365,0.9468,558.0,1,motorcycle
4,0,23948,85,87.9293,-24.1491,218.4402,0.8085,2.2035,-3.6531,-3.1305,-2.5639,-0.5431,4.8075,-0.1808,2.3458,1.1686,558.0,1,motorcycle
4,0,23953,90,87.1471,-24.7926,216.4058,0.8085,2.2035,-4.2043,-3.215,-2.5913,-0.2356,5.2919,-0.0923,2.2254,1.3484,558.0,1,motorcycle
4,0,23958,95,86.2536,-25.4443,214.5342,0.8085,2.2035,-4.7541,-3.2251,-2.4732,0.0444,5.7447,0.0383,2.0123,1.4386,558.0,1,motorcycle
4,0,23963,100,85.2489,-26.0892,212.8919,0.8085,2.2035,-5.2668,-3.1755,-2.2001,0.2495,6.147,0.1937,1.712,1.4043,558.0,1,motorcycle
4,0,23968,105,84.1442,-26.7189,211.5451,0.8085,2.2035,-5.7032,-3.0873,-1.7956,0.3514,6.4756,0.3527,1.3464,1.2389,558.0,1,motorcycle
4,0,23973,110,82.9611,-27.3285,210.5547,0.8085,2.2035,-6.0366,-2.9839,-1.3122,0.3308,6.7153,0.4992,0.9618,0.9519,558.0,1,motorcycle
4,0,23978,115,81.7234,-27.9159,209.9728,0.8085,2.2035,-6.2566,-2.8941,-0.8094,0.1753,6.8657,0.6187,0.6136,0.5562,558.0,1,motorcycle
4,0,23983,120,80.4551,-28.4856,209.8394,0.8085,2.2035,-6.3679,-2.8516,-0.3361,-0.107,6.9426,0.695,0.3448,0.0745,558.0,1,motorcycle
4,0,23988,125,79.176,-29.0498,210.1799,0.8085,2.2035,-6.3834,-2.8876,0.077,-0.4763,6.9698,0.7129,0.1729,-0.4504,558.0,1,motorcycle
4,0,23993,130,77.9041,-29.6318,211.0026,0.8085,2.2035,-6.3201,-3.0165,0.4141,-0.8679,6.9709,0.6698,0.0921,-0.9572,558.0,1,motorcycle
4,0,23998,135,76.6522,-30.2522,212.2986,0.8085,2.2035,-6.1971,-3.2304,0.675,-1.2316,6.9643,0.5808,0.0875,-1.4017,558.0,1,motorcycle
4,0,24003,140,75.4296,-30.9241,214.0432,0.8085,2.2035,-6.0293,-3.5173,0.8668,-1.5439,6.965,0.4608,0.1461,-1.7646,558.0,1,motorcycle
4,0,24008,145,74.2442,-31.6614,216.1981,0.8085,2.2035,-5.8306,-3.8624,0.9977,-1.7954,6.9862,0.3266,0.2552,-2.0381,558.0,1,motorcycle
4,0,24013,150,73.1014,-32.4731,218.715,0.8085,2.2035,-5.6133,-4.2511,1.0788,-1.9893,7.0387,0.1938,0.4025,-2.2269,558.0,1,motorcycle
4,0,24018,155,72.0043,-33.3658,221.5387,0.8085,2.2035,-5.3881,-4.6722,1.1277,-2.1352,7.1313,0.0758,0.5718,-2.346,558.0,1,motorcycle
4,0,24023,160,70.9528,-34.3447,224.611,0.8085,2.2035,-5.161,-5.1181,1.1695,-2.24,7.2685,-0.019,0.7406,-2.416,574.0,1,motorcycle
4,0,24028,165,69.9457,-35.4136,227.8734,0.8085,2.2035,-4.9298,-5.5822,1.2298,-2.3055,7.4468,-0.0881,0.885,-2.4585,574.0,1,motorcycle
4,0,24033,170,68.9843,-36.5765,231.2688,0.8085,2.2035,-4.6857,-6.0575,1.3228,-2.327,7.6571,-0.1347,0.9877,-2.4878,574.0,1,motorcycle
4,0,24038,175,68.073,-37.8352,234.7435,0.8085,2.2035,-4.4198,-6.5341,1.4503,-2.2997,7.8868,-0.1626,1.0407,-2.5118,574.0,1,motorcycle
4,0,24043,180,67.2168,-39.1886,238.2466,0.8085,2.2035,-4.1238,-7.0016,1.6077,-2.2212,8.1238,-0.1781,1.0427,-2.536,574.0,1,motorcycle
4,0,24048,185,66.4223,-40.6345,241.7311,0.8085,2.2035,-3.7906,-7.4486,1.7825,-2.0915,8.3555,-0.1892,0.9979,-2.5605,574.0,1,motorcycle
4,0,24053,190,65.6975,-42.1674,245.1533,0.8085,2.2035,-3.416,-7.8638,1.9539,-1.9162,8.5712,-0.2045,0.9178,-2.5782,574.0,1,motorcycle
4,0,24058,195,65.0515,-43.7796,248.4726,0.8085,2.2035,-3.0023,-8.238,2.0955,-1.7057,8.765,-0.23,0.8178,-2.5752,,1,motorcycle
4,0,24063,200,64.4927,-45.4627,251.6512,0.8085,2.2035,-2.559,-8.5644,2.1815,-1.4726,8.9345,-0.2672,0.711,-2.5341,,1,motorcycle
4,0,24068,205,64.0265,-47.2062,254.655,0.8085,2.2035,-2.1029,-8.8388,2.1989,-1.2341,9.0802,-0.3111,0.6082,-2.4471,,1,motorcycle
4,0,24073,210,63.6525,-48.9992,257.4538,0.8085,2.2035,-1.6511,-9.062,2.1513,-1.0081,9.2042,-0.3568,0.5167,-2.3189,,1,motorcycle
4,0,24078,215,63.3661,-50.8312,260.0221,0.8085,2.2035,-1.2151,-9.2389,2.0488,-0.8098,9.3097,-0.4041,0.4425,-2.1582,,1,motorcycle
4,0,24083,220,63.1643,-52.6939,262.34,0.8085,2.2035,-0.8033,-9.3778,1.893,-0.6474,9.4012,-0.4539,0.3893,-1.9623,,1,motorcycle
4,0,24088,225,63.0409,-54.5808,264.394,0.8085,2.2035,-0.4263,-9.4874,1.6815,-0.5228,9.4837,-0.5025,0.356,-1.7245,,1,motorcycle
4,0,24093,230,62.9877,-56.4872,266.1772,0.8085,2.2035,-0.0936,-9.5757,1.4072,-0.4342,9.5607,-0.545,0.3394,-1.433,,1,motorcycle
4,0,24098,235,62.9965,-58.4093,267.6906,0.8085,2.2035,0.1807,-9.6501,1.0588,-0.378,9.635,-0.5694,0.3351,-1.0732,,1,motorcycle
4,0,24103,240,63.0551,-60.3452,268.9443,0.8085,2.2035,0.3779,-9.7173,0.6331,-0.3485,9.7087,-0.5569,0.3368,-0.6395,,1,motorcycle
4,0,24108,245,63.1467,-62.2936,269.9578,0.8085,2.2035,0.4777,-9.7831,0.1461,-0.3362,9.7827,-0.4849,0.3361,-0.1464,,1,motorcycle
4,0,24113,250,63.2514,-64.2555,270.761,0.8085,2.2035,0.4632,-9.85,-0.36,-0.3285,9.8553,-0.3323,0.3237,0.3644,,1,motorcycle
4,0,24118,255,63.3415,-66.2319,271.3936,0.8085,2.2035,0.3328,-9.9167,-0.8191,-0.3157,9.9219,-0.0915,0.2957,0.8265,,1,motorcycle
4,0,24123,260,63.3929,-68.2215,271.9028,0.8085,2.2035,0.1048,-9.9806,-1.1673,-0.2947,9.9785,0.2267,0.2557,1.1764,,1,motorcycle
4,0,24128,265,63.3847,-70.2251,272.3398,0.8085,2.2035,-0.1846,-10.0379,-1.367,-0.2664,10.022,0.5943,0.2104,1.3767,,1,motorcycle
4,0,24133,270,63.3088,-72.2393,272.7537,0.8085,2.2035,-0.4902,-10.0857,-1.4373,-0.2442,10.0505,0.9742,0.1748,1.4474,,1,motorcycle
4,0,24138,275,63.173,-74.2596,273.1859,0.8085,2.2035,-0.7854,-10.1302,-1.4454,-0.238,10.0709,1.3471,0.1573,1.4564,,1,motorcycle
4,1,22883,3,113.4861,-20.1949,279.312,0.8932,1.7221,0.5066,-3.3238,0.2177,-0.9086,3.3619,0.0379,0.9318,-0.0678,544.0,1,bicycle
4,1,22888,8,113.5931,-20.8795,279.621,0.8932,1.7221,0.549,-3.5284,0.2332,-0.8658,3.5705,0.0484,0.8926,-0.0853,538.0,1,bicycle
4,1,22893,13,113.7076,-21.6058,280.109,0.8932,1.7221,0.5945,-3.7144,0.26,-0.7274,3.761,0.0667,0.7618,-0.1283,538.0,1,bicycle
4,1,22898,18,113.8305,-22.3706,280.7643,0.8932,1.7221,0.6474,-3.8559,0.2978,-0.5166,3.9089,0.0841,0.5631,-0.1961,538.0,1,bicycle
4,1,22903,23,113.9653,-23.1582,281.5695,0.8932,1.7221,0.7105,-3.9375,0.3388,-0.2882,4.0,0.0936,0.3503,-0.2742,544.0,1,bicycle
4,1,22908,28,114.112,-23.9499,282.5051,0.8932,1.7221,0.7854,-3.969,0.3725,-0.0908,4.0449,0.0927,0.1693,-0.344,544.0,1,bicycle
4,1,22913,33,114.2774,-24.7455,283.5497,0.8932,1.7221,0.8677,-3.9635,0.3826,0.0685,4.0565,0.0851,0.023,-0.388,544.0,1,bicycle
